G,T,M,P,Y_star,r_star
152.91824,69.11755,2.9268286,0.72483337,149.65968,70.791916
137.74988,82.71976,2.7884047,1.9324574,129.28848,63.201317
254.90086,94.4471,2.6597533,0.6706699,211.5459,101.80712
282.42493,90.33761,2.4226794,0.8578944,231.33594,112.84399
162.62534,122.81943,1.6327487,0.62695074,131.53017,63.16081
147.0129,56.118732,2.9034224,1.2475117,148.56888,71.95705
176.82404,107.36238,1.1650624,0.69485724,146.97144,71.80901
167.53647,100.86588,1.8117802,0.74479145,144.20154,69.66816
205.0514,113.20651,1.4211037,1.9957933,163.25114,80.91352
210.0292,149.70401,0.8381178,1.5851446,150.90305,74.92278
61.467903,130.77243,1.1576418,1.5681832,53.200615,25.862097
128.87029,72.31477,2.0530748,1.7818973,126.98986,62.342735
280.26617,59.027374,1.6384736,1.3795924,240.87502,119.24986
223.69437,87.89495,0.92193663,1.371704,187.35832,93.007034
168.7828,74.918655,1.5910858,0.6866873,156.04694,75.70641
99.63678,117.465256,1.9658825,1.4606993,87.035255,42.17176
98.52437,100.45834,0.8754358,0.66405344,93.49003,45.426674
63.029144,140.21619,2.5049198,1.2467368,52.08414,24.032887
134.2547,119.64031,0.68726516,0.8452695,110.06902,54.221455
217.21303,90.80649,1.7619592,0.82488656,183.57227,89.65011
254.7027,101.7185,0.7274713,0.81087554,203.90422,101.054955
232.71217,111.974304,0.6228069,0.88693565,183.52287,91.05922
64.506996,93.79564,1.594723,0.8039615,72.9977,34.515266
99.8297,140.34674,2.884469,0.83983463,80.35057,36.74071
155.27292,60.904984,2.931679,0.97679746,153.38039,73.68888
295.9187,124.37029,2.1992607,0.56471795,227.91812,110.06463
193.08218,68.12781,2.7188737,1.8503333,175.10307,86.08214
142.62866,56.195927,1.066689,1.5020299,143.09387,70.83678
226.7144,89.73517,2.453741,0.50400686,194.7216,92.492325
127.38981,124.36525,2.5127065,0.50036997,109.15291,49.55475
94.09305,135.3281,0.5553751,0.87228703,74.40685,36.566723
266.2359,112.54712,0.7920859,1.5394018,206.95476,102.96287
118.16228,95.67855,2.2900276,1.9364775,109.37164,53.503242
149.94165,97.19704,1.8655076,1.1331717,132.08282,64.39515
50.649467,79.730934,0.9039,1.6962469,67.05476,32.9945
258.6588,95.51313,0.76359665,0.84547246,209.39804,103.79585
269.70435,96.5453,2.6534114,1.0943295,219.01897,107.084785
220.55603,142.54813,1.8865517,1.1337314,163.11089,79.8914
87.84073,129.2622,1.7472336,0.5198083,76.43288,34.855125
51.63251,59.988804,0.5416063,1.2539128,76.07365,37.604885
73.47763,100.20683,2.8467412,1.4484997,76.63152,36.35046
268.21252,69.246506,0.9236752,1.7071326,226.962,112.9399
235.01321,92.06296,2.3069844,0.66969,197.61798,95.36413
